book,price,amount,oid,side,amount_minor,amount_major
usd_mxn,22.889,10.0,dboWRxuWvpW3lkHk,ask,228.89,10.0
usd_mxn,22.889,10.0,5LQrdDLdsZjr9Ape,ask,228.89,10.0
usd_mxn,22.889,2.0,MnI7rfhGhrYiXOHG,ask,45.778,2.0
usd_mxn,22.886,52.2,1WBIvBl3vSN7uw9z,ask,1194.6492,52.2
usd_mxn,22.88,500.0,UWrHm73EQf2aPQrS,ask,11440.0,500.0
usd_mxn,22.878,2.42,kPhnCWgFmnjNBMky,ask,55.36476,2.42
usd_mxn,22.872,98.43,fbr47VIH6RcDSLvI,ask,2251.2909600000003,98.43
usd_mxn,22.872,20.88639984,tFEcR2dlhrBqCqEt,ask,477.71373714047996,20.88639984
usd_mxn,22.87,11.01,fd5jbFh9bs1YTu2d,ask,251.7987,11.01
usd_mxn,22.86,12.0,6N6rSRGNB6IUdLAk,ask,274.32,12.0
usd_mxn,22.85,361.38,3SPUFDmegAveybqg,ask,8257.533000000001,361.38
usd_mxn,22.837,20.88639984,gimUTumKetWjlARf,ask,476.98271314607996,20.88639984
